"","G69157","HV-1","LDK_9","A72_02_1FE"
"Brachyspira pilosicoli",0,0,0,0
"Alistipes putredinis",0,0.12761,0,0
"Firmicutes bacterium CAG:95",0,0,0,0.02704
"Roseburia sp. CAG:182",0,0,0.0041,0
"Bacteroides ovatus",0.64531,0.13517,0.00536,0
"Butyricimonas virosa",0,0,0,0
"Alistipes shahii",0,0.00148,0,0
"Clostridium sp. CAG:253",0,0,0.00172,0.00362
"Parabacteroides distasonis",0,0.17112,0,0.00628
"Clostridium sp. CAG:167",0,0,0.0618,0
"Ruminococcus sp. CAG:563",0,0,0,0
"Flavonifractor plautii",1.27085,0.0324,0,0
"Sharpea azabuensis",0,0,0,0
"Tractidigestivibacter scatoligenes",0.00122,0,0,0.01155
"Bifidobacterium adolescentis",12.01544,0,0.47517,0
"Roseburia intestinalis",0.17054,6.98861,0.01074,0.21226
"Bifidobacterium catenulatum",0.02572,0,0,0
"Lachnospira pectinoschiza",0.04342,0.09272,0.03225,5.14015
"Megamonas funiformis",0,0,0.10286,0
"Phocaeicola plebeius",0,3.31286,0,0
"Megamonas hypermegale",0,0,0.06264,0
"Bacteroides xylanisolvens",0.03818,0.06035,0,0
"Phocaeicola dorei",0,1.08546,0.07018,0
"Parabacteroides merdae",0,0.27044,0,0
"Streptococcus salivarius",0.02825,0.08232,0.09127,0.00376
"Streptococcus mutans",0,0,0,0
"Bacteroides uniformis",6.59713,0.87411,0,0
"Aeriscardovia aeriphila",0.00706,0,0,0
"Streptococcus gallolyticus",0,0,0,0
"Bacteroides thetaiotaomicron",1.07301,0.17148,0.01922,0
"Prevotella sp. CAG:1092",0,0,0.09104,1.08876
"Treponema berlinense",0,0,0,0
"Firmicutes bacterium CAG:555",0,0,0,0
"Blastocystis sp. subtype 1",0,0,0,0
"Eubacterium sp. CAG:180",0,0.00044,0.56432,0
"Prevotella corporis",0,0,0,0
"Streptococcus parasanguinis",0.15826,0.01576,0.01893,0
"Ruminococcus obeum CAG:39",0,0,0,0
"Roseburia sp. CAG:309",0,0,0,0
"Enorma massiliensis",0.00694,0,0,0
"Rothia mucilaginosa",0,0,0,0
"Lactobacillus rogosae",0,0,0,0.21566
"Eubacterium coprostanoligenes",0,0,0,0
"Collinsella intestinalis",0.01724,0,0,0.00221
"Prevotella buccalis",0,0,0,0
"Veillonella atypica",0,0,0.04292,0
"Streptococcus infantarius",0,0,0,0
"Megasphaera elsdenii",0,0,0,0
"Ruminococcus sp. CAG:330",0,0,0,0
"Bacteroides galacturonicus",0.02564,0,0,0.00964
"Bacteroides fragilis",3.02336,0,0.00043,0
"Haemophilus parainfluenzae",0.01,0.16822,0.01444,0.03537
"Haemophilus sp. HMSC71H05",0.06654,0.01605,0.00523,0
"Barnesiella intestinihominis",0.31036,0.00174,0,0
"Bilophila wadsworthia",0,0,0,0.03432
"Bacteroides stercoris",0.0019,0.43918,0,0
"Bifidobacterium dentium",3.34941,0.02439,0,0
"Eubacterium sp. OM08-24",0,0,0,0
"Haemophilus pittmaniae",0,0,0,0
"Anaerotruncus sp. CAG:528",0,0,0,0.31997
"Eubacterium sp. CAG:786",0,0,0,0
"Bacteroides clarus",0,0,0,0
"Alistipes indistinctus",0,0,0,0
"[Bacteroides] pectinophilus",0,0,0,0
"Gordonibacter pamelaeae",0.33111,0,0,0
"Ruthenibacterium lactatiformans",0.02079,0,0,0
"Parasutterella excrementihominis",0.11272,0,0.06094,0
"[Clostridium] symbiosum",0,0,0,0
"Parabacteroides johnsonii",0,0,0,0
"Allisonella histaminiformans",0,0.00083,0,0
"Bacteroides caccae",0,0.00045,0,0.00489
"Bifidobacterium bifidum",0.74735,0,0,0
"Dialister sp. CAG:357",0,0,0,0
"Akkermansia muciniphila",0.24737,0,0,0
"Bacteroides intestinalis",0,0,0,0
"Proteobacteria bacterium CAG:139",0.00185,0,0.00113,0
"Turicimonas muris",0.00081,0,0,0
"Haemophilus sputorum",0,0,0,0
"Bifidobacterium breve",0.36202,0,0,0
"Veillonella parvula",0,0.03192,0.0888,0.05677
"Lactobacillus paragasseri",0.00322,0,0.01363,0
"Veillonella dispar",0,0,0.00833,0
"Bacteroides nordii",0,0,0,0
"Butyricimonas synergistica",0,0,0,0
"Alistipes onderdonkii",0,0,0,0
"Adlercreutzia equolifaciens",0.00766,0,0,0
"Lactobacillus crispatus",0,0,0.00029,0
"Roseburia sp. CAG:303",0,0,0,0
"Actinomyces sp. ICM47",0.02249,0,0,0
"Ruminococcus sp. CAG:403",0,0,0,0.02829
"Corynebacterium amycolatum",0,0,0,0
"Ligilactobacillus agilis",0,0,0,0
"Schaalia odontolytica",0.03263,0,0,0.00357
"Phocaeicola coprocola",0,0,0,0
"Phocaeicola coprophilus",0,0.33247,0,0
"Weissella cibaria",0,0,0,0
"Weissella confusa",0,0,0.00844,0
"Klebsiella pneumoniae",0,0,0,0.22678
"Plesiomonas shigelloides",0,0,0,0
"Enterococcus faecium",0.00749,0,0,0
"Klebsiella quasipneumoniae",0,0,0,0.01543
"Lactococcus petauri",0,0,0,0
"Megamonas funiformis CAG:377",0,0,0,0
"Klebsiella variicola",0,0,0,0.2087
"Sarcina ventriculi",0,0,0,0
"Haemophilus paraphrohaemolyticus",0,0,0,0
"Eggerthella lenta",2.13544,0,0,0
"Lactococcus garvieae",0,0,0,0
"Neisseria flavescens",0,0,0,0
"Bacteroides eggerthii",0,0.22868,0,0
"[Ruminococcus] gnavus",0.28689,0.00047,0,0
"Alistipes finegoldii",0.27709,0.03422,0,0
"Enterococcus hirae",0,0,0,0
"Enterobacter mori",0,0,0,0
"Enterobacter bugandensis",0,0,0,0
"Phascolarctobacterium faecium",0,0.05904,0,0
"Veillonella infantium",0,0,0,0
"Streptococcus pasteurianus",0,0,0,0
"Citrobacter freundii",0,0,0,0
"Veillonella rogosae",0,0,0,0
"Lautropia mirabilis",0,0,0,0
"Actinomyces naeslundii",0,0,0,0
"Neisseria perflava",0,0,0,0
"Corynebacterium durum",0.00402,0,0,0
"Actinomyces graevenitzii",0.04443,0.01625,0,0
"Streptococcus mitis",0.00444,0,0,0
"[Clostridium] innocuum",0.04544,0,0,0
"Pseudoflavonifractor capillosus",0,0,0,0
"Enterocloster citroniae",0,0,0,0
"Hungatella hathewayi",0,0,0,0
"Dielma fastidiosa",0,0,0,0
"Neisseria subflava",0,0,0,0
"Enterocloster clostridioformis",0.00059,0,0,0
"Firmicutes bacterium CAG:145",0,0,0,0
"Dialister succinatiphilus",0,0,0,0
"Parabacteroides sp. CAG:409",0,0,0,0
"Comamonas kerstersii",0,0,0,0
"Ligilactobacillus salivarius",0,0,0.14396,0
"Romboutsia ilealis",0.00509,0.00861,0,0
"Victivallis vadensis",0,0,0,0
"Aggregatibacter segnis",0,0,0,0
"Streptococcus australis",0,0,0,0
"Lawsonibacter asaccharolyticus",0,0,0,0
"Streptococcus sp. A12",0,0,0,0
"Bifidobacterium merycicum",0,0,0,0
"[Ruminococcus] lactaris",0.19243,1.80105,0.02972,0.06509
"Limosilactobacillus fermentum",0,0,0,0
"Cloacibacillus porcorum",0,0,0,0
"Fretibacterium fastidiosum",0,0,0,0
"Streptococcus macedonicus",0,0,0,0
"Streptococcus oralis",0,0,0,0
"Streptococcus sanguinis",0,0,0,0
"Clostridium sp. CAG:632",0,0,0,0.13434
"Veillonella sp. T11011-6",0,0,0,0
"Cutibacterium acnes",0,0,0,0.00254
"Bifidobacterium ruminantium",0,0,0,0
"Acidaminococcus intestini",0,0,0,0
"Coprobacter secundus",0,0,0,0
"Limosilactobacillus reuteri",0,0,0.03024,0
"Campylobacter upsaliensis",0,0,0,0
"Lactobacillus helveticus",0,0,0.2124,0
"Saccharomyces cerevisiae",0,0,0.05823,0
"Lactiplantibacillus plantarum",0.00138,0,0,0
"Levilactobacillus brevis",0,0,0.00106,0
"Streptococcus infantis",0,0,0,0
"Clostridium sp. CAG:590",0,0,0,0
"Streptococcus gordonii",0,0,0,0.04193
"Streptococcus downei",0,0,0,0
"Streptococcus vestibularis",0,0.01067,0.00941,0
"Dialister invisus",0.03963,0,0,0
"Eubacterium sp. CAG:274",0,0.4604,0,0
"Firmicutes bacterium CAG:791",0,0,0,0.24551
"Pediococcus sp.",0,0,0,0
"Lentilactobacillus hilgardii",0,0,0,0
"Pediococcus parvulus",0,0,0,0
"Pediococcus damnosus",0,0,0,0
"Lactobacillus acetotolerans",0,0,0,0
"Actinomyces oris",0.02411,0,0,0
"Alloscardovia omnicolens",0,0,0,0
"Limosilactobacillus oris",0,0,0.01218,0
"Leuconostoc suionicum",0,0,0.00124,0
"Leuconostoc mesenteroides",0,0,0.00082,0
"Schaalia turicensis",0,0,0,0
"Enterococcus cecorum",0,0,0,0
"Prevotella bivia",0,0,0,0
"Candidatus Methanomethylophilus sp. 1R26",0,0,0,0
"Mogibacterium diversum",0.01158,0,0,0.07585
"Streptococcus lutetiensis",0,0,0,0.00677
"[Eubacterium] sulci",0.00343,0,0,0.12001
"Erysipelatoclostridium ramosum",0.24218,0,0,0
"Prevotella disiens",0,0,0,0
"Adlercreutzia caecimuris",0.00858,0,0,0
"Porphyromonas uenonis",0,0,0,0
"Clostridium perfringens",0,0,0,0
"Brachyspira sp. CAG:700",0,0,0,1.38433
"Veillonella denticariosi",0,0,0,0
"Propionibacterium acidifaciens",0,0,0,0
"Veillonella rodentium",0,0,0,0
"Streptococcus milleri",0,0,0,0
"Campylobacter concisus",0,0,0,0
"Veillonella tobetsuensis",0,0,0,0
"Streptococcus sinensis",0,0,0,0
"Escherichia fergusonii",0,0,0,0
"Solobacterium moorei",0,0,0,0.034
"Gemella morbillorum",0,0,0,0
"Actinomyces sp. oral taxon 414",0,0,0,0
"Citrobacter youngae",0,0,0,0
"Schaalia cardiffensis",0,0,0,0
"Leuconostoc garlicum",0,0,0,0
"[Eubacterium] infirmum",0,0,0,0
"Atopobium deltae",0,0,0,0
"Mogibacterium pumilum",0,0,0,0
"Actinomyces sp. HMSC035G02",0.07762,0,0,0
"Gemella sanguinis",0,0,0,0.02203
"Actinomyces sp. oral taxon 897",0,0,0,0
"Fusobacterium gonidiaformans",0,0,0,0
"Bacteroides finegoldii",0,0,0,0
"Pseudomonas marginalis",0,0,0,0
"Leuconostoc lactis",0,0,0,0
"Streptococcus cristatus",0,0,0,0
"Lactococcus lactis",0.72093,0,0,0
"Ralstonia pickettii",0,0,0,0
"Rhodococcus pyridinivorans",0,0,0,0
"Prescottella equi",0,0,0,0
"Clostridium sp. CAG:964",0,0,0,0
"Ruminococcus sp. CAG:579",0,0,0,0
"Actinomyces sp. S6-Spd3",0.00433,0,0,0
"Enterococcus avium",8.824,0,0,0
"Intestinimonas butyriciproducens",0.00021,0,0,0
"Klebsiella aerogenes",0,0,0,0
"Aggregatibacter aphrophilus",0,0,0,0
"Enterococcus faecalis",0.03564,0,0,0
"Gemella haemolysans",0,0,0,0
"Actinomyces johnsonii",0.19154,0,0,0
"Actinobaculum sp. oral taxon 183",0,0,0,0
"Arachnia propionica",0,0,0,0
"Actinomyces massiliensis",0,0,0,0
"Actinomyces sp. HPA0247",0,0,0,0
"Clostridium celatum",0,0,0,0
"Oribacterium sinus",0,0,0,0
"Pauljensenia hongkongensis",9e-04,0,0,0
"Streptococcus viridans",0,0,0,0
"Lentilactobacillus buchneri",0,0,0,0
"Actinomyces sp. oral taxon 180",0,0,0,0
"[Eubacterium] brachy",0,0,0,0
"Schaalia georgiae",0,0,0,0
"Actinomyces sp. oral taxon 170",0,0,0,0
"Scardovia wiggsiae",0,0,0,0
"[Eubacterium] saphenum",0,0,0,0
"[Eubacterium] minutum",0,0,0,0
"Eikenella corrodens",0,0,0,0
"Denitrobacterium detoxificans",0.00927,0,0,0
"Lancefieldella rimae",0,0,0,0
"Olsenella uli",0,0,0,0
"Campylobacter jejuni",0,0,0,0
"Dialister pneumosintes",0,0,0,0
"Haemophilus parahaemolyticus",0,0,0,0
"Haemophilus haemolyticus",0,0,0,0
"Neisseria sicca",0,0,0,0
"Haemophilus quentini",0,0,0,0
"Tropheryma whipplei",0,0,0,0
"Streptococcus sp. F0442",0,0,0,0
"Rothia dentocariosa",0,0,0,0
"Actinomyces sp. oral taxon 181",0.0087,0,0,0
"Abiotrophia sp. HMSC24B09",0,0,0,0
"Granulicatella adiacens",0,0,0,0
"Abiotrophia defectiva",0,0,0,0
"Scardovia inopinata",0,0,0,0
"Megasphaera micronuciformis",0,0,0,0
"Parvimonas micra",0,0,0,0
"Streptococcus sp. oral taxon 056",0,0,0,0
"Peptostreptococcus stomatis",0,0,0,0
"Paeniclostridium sordellii",0,0,0,0
"Clostridium paraputrificum",0,0,0,0
"Paraclostridium bifermentans",0,0,0,0
"Mogibacterium timidum",0,0,0,0
"Aggregatibacter sp. oral taxon 458",0,0,0,0
"[Eubacterium] nodatum",0,0,0,0
"Lactobacillus amylovorus",0,0,0,0
"Lancefieldella parvula",0,0,0,0
"Escherichia marmotae",0,0,0,0
"Citrobacter koseri",0,0,0,0
"Pyramidobacter piscolens",0,0,0,0.00124
"Tyzzerella nexilis",0,0,0,0
"Kluyvera ascorbata",0,0,0,0
"Klebsiella variicola CAG:634",0,0,0,0
"Leclercia adecarboxylata",0,0,0,0
"Fusobacterium necrophorum",0,0,0,0
"Fusobacterium varium",0,0,0,0
"Bacteroides cellulosilyticus",0.00106,0.00398,0,0
"Citrobacter portucalensis",0,0,0,0.0073
"Citrobacter europaeus",0,0,0,0
"Neisseria mucosa",0,0,0,0
"Corynebacterium accolens",0,0,0,0
"Ligilactobacillus animalis",0,0,0,0
"Candidatus Gastranaerophilales bacterium HUM_9",0,0,0,0.03871
"Micrococcus luteus",0,0,0,0
"Kytococcus aerolatus",0,0,0,0
"Eubacterium pyruvativorans",0,0,0,0
"Pseudomonas kuykendallii",0,0,0,0
"Prevotella timonensis",0,0,0,0
"Bacteroidales bacterium KA00251",0,0,0,0
"Peptostreptococcus anaerobius",0,0,0,0
"Porphyromonas asaccharolytica",0,0,0,0
"Enterococcus gallinarum",0,0,0,0
"Porphyromonas sp. HMSC065F10",0,0,0,0
"Ezakiella coagulans",0,0,0,0
"Sneathia vaginalis",0,0,0,0
"Mageeibacillus indolicus",0,0,0,0
"Lawsonia intracellularis",0,0,0,0
"Phocaeicola massiliensis",0,0.01802,0,0
"Parabacteroides goldsteinii",0,0,0,0
"Synergistes jonesii",0,0,0,0
"Coprobacillus cateniformis",0,0.00243,0,0
"Enterococcus raffinosus",0,0,0,0
"Bacteroides faecis",0,0,0,0
"Prevotella buccae",0,0,0,0
"Bacteroides sp. D2",0,0,0,0
"Alcaligenes faecalis",0,0,0,0
"Brevibacterium iodinum",0,0,0,0
"Gordonia terrae",0,0,0,0
"Cellulosimicrobium cellulans",0,0,0,0
"Stenotrophomonas rhizophila",0,0,0,0
"Corynebacterium casei",0,0,0,0
"Nocardiopsis alba",0,0,0,0
"Nocardiopsis sp. L17-MgMaSL7",0,0,0,0
"Neisseria elongata",0,0,0,0
"Bacteroides salyersiae",0,0,0,0
"Eubacterium limosum",0,0,0,0
"Methanobrevibacter sp. AbM4",0,0,0,0
"Alistipes inops",0,0,0,0
"Phascolarctobacterium sp. CAG:266",0,0,0,0
"Moraxella osloensis",0,0,0,0
"Enhydrobacter aerosaccus",0,0,0,0
"Fusobacterium equinum",0,0,0,0
"Klebsiella michiganensis",0,0,0,0
"Pseudocitrobacter faecalis",0,0,0,0
"Enterococcus casseliflavus",0.33166,0,0,0
"Peptoniphilus harei",0,0,0,0
"Helicobacter pullorum",0,0,0,0
"Bifidobacterium animalis",0.02132,0,0,0
"Morococcus cerebrosus",0,0,0,0
"Prevotella sp. MGM2",0,0,0,0
"Lactobacillus iners",0,0,0,0
"Faecalicoccus pleomorphus",0,0,0,0
"[Clostridium] leptum",0,0,0,0
"Mycolicibacterium obuense",0,0,0,0
"Methylobacterium radiotolerans",0,0,0,0
"Streptomyces albus",0,0,0,0
"Enterocloster bolteae",0.00055,0,0,0
"Micrococcus aloeverae",0,0,0,0
"Fusobacterium mortiferum",0,0.15405,0,0
"Rhodococcus gordoniae",0,0,0,0
"Bacteroides faecichinchillae",0,0,0,0
"Clostridium butyricum",0,0,0,0
"Clostridium sp. 7_2_43FAA",0,0,0,0
"Veillonella sp. CAG:933",0,0,0,0
"Limosilactobacillus gastricus",0,0,0,0
"Clostridium neonatale",0,0,0,0
"Clostridioides difficile",0,0,0,0
"Weissella paramesenteroides",0,0,0,0
"Prevotella intermedia",0,0,0,0
"Methanobrevibacter sp. 87.7",0,0,0,0
"Clostridium baratii",0,0,0,0
"Gardnerella vaginalis",0,0,0,0
"Escherichia albertii",0,0,0,0
"Helicobacter cinaedi",0,0,0,0
"Morganella morganii",0,0,0,0
"Klebsiella oxytoca",0,0,0,0
"Proteus mirabilis",0,0,0,0
"Bacteroides sp. 43_108",0,0,0,0
"Prevotella sp. CAG:617",0,0.8257,0,0
"Citrobacter pasteurii",0,0,0,0
"Citrobacter werkmanii",0,0,0,0
"Streptococcus pseudopneumoniae",0,0,0,0
"Schleiferilactobacillus harbinensis",0,0,0,0
"Liquorilactobacillus satsumensis",0,0,0,0
"Liquorilactobacillus nagelii",0,0,0,0
"[Clostridium] spiroforme",0,0,0,0
"Rothia aeria",0,0,0,0
"Streptococcus sp. oral taxon 058",0,0,0,0
"Desulfomicrobium orale",0,0,0,0
"Streptococcus sp. HMSC067H01",0,0,0,0
"Cardiobacterium hominis",0,0,0,0
"Cardiobacterium valvarum",0,0,0,0
"Campylobacter gracilis",0,0,0,0
"Fusobacterium nucleatum",0,0,0,0
"Kluyvera cryocrescens",0,0,0,0
"Enterobacter soli",0,0,0,0
"Aeromonas hydrophila",0,0,0,0
"Yokenella regensburgei",0,0,0,0
"Raoultella ornithinolytica",0,0,0,0
"Citrobacter amalonaticus",0,0,0,0
"Aeromonas caviae",0,0,0,0
"[Enterobacter] lignolyticus",0,0,0,0
"Enterococcus mundtii",0,0,0,0
"Citrobacter braakii",0,0,0,0
"Hafnia alvei",0,0,0,0
"Cedecea neteri",0,0,0,0
"Kosakonia cowanii",0,0,0,0
"Serratia marcescens",0,0,0,0
"Kluyvera georgiana",0,0,0,0
"Enterococcus durans",0.00141,0,0,0
"Lactobacillus equicursoris",0,0,0,0
"Clostridium sp. CAG:242",0,0,0,0
"Clostridium sp. CAG:299",0,0,0,0
"Bacteroides oleiciplenus",0,0,0,0
"Holdemania filiformis",0,0,0,0
"Firmicutes bacterium CAG:424",0,0,0,0
"Candidatus Stoquefichus sp. KLE1796",0,0,0,0
"Clostridium bolteae CAG:59",0,0,0,0
"Enterocloster asparagiformis",0,0,0,0
"Blautia hansenii",0,0,0,0
"Blautia sp. CAG:257",0,0,0,0
"Clostridiales bacterium 1_7_47FAA",0,0,0,0
"Amedibacillus dolichus",0,0,0,0
"Eubacterium dolichum CAG:375",0,0,0,0
"Prevotella sp. CAG:891",0,0,0,0
"Fusobacterium ulcerans",0,0,0,0
"Paraprevotella clara",0,0,0,0
"Parabacteroides gordonii",0,0,0,0
"Anaeromassilibacillus sp. An250",0,0,0,0
"Ruminococcaceae bacterium D5",0,0,0,0
"Clostridium sp. CAG:58",0,0,0,0
"Prevotella sp. CAG:1185",0,0,0,0
"Atlantibacter hermannii",0,0,0,0
"Enterocloster lavalensis",0,0,0,0
"Anaerotignum lactatifermentans",0,0,0,0
"Bacteroides sp. CAG:598",0,0,0,0
"Flavonifractor sp. An100",0,0,0,0
"Oxalobacter formigenes",0,0,0,0
"Prevotella jejuni",0,0,0,0
"Bacteroides sp. OM05-12",0,0,0,0
"Oscillibacter sp. PC13",0,0,0,0
"Staphylococcus aureus",0,0,0,0
"Mammaliicoccus sciuri",0,0,0,0
"Staphylococcus xylosus",0,0,0,0
"Staphylococcus hominis",0,0,0,0
"Anaerotruncus colihominis",0,0,0,0
"Coprobacter fastidiosus",0,0,0,0
"Enterocloster aldenensis",0,0,0,0
"Sanguibacteroides justesenii",0,0,0,0
"Pyramidobacter sp. C12-8",0,0,0,0
"Parabacteroides chinchillae",0,0,0,0
"Eisenbergiella tayi",0,0,0,0
"Bacteroides sp. OM08-11",0,0,0,0
"Bacteroides faecis CAG:32",0,0,0,0
"Barnesiella sp. An22",0,0,0,0
"Lachnospiraceae bacterium 2_1_46FAA",0,0,0,0
"Christensenella minuta",0,0,0,0
"Lactobacillus johnsonii",0,0,0,0
"Cetobacterium somerae",0,0,0,0
"Blautia producta",0,0,0,0
"Alloprevotella tannerae",0,0,0,0
"Prevotella nigrescens",0,0,0,0
"Staphylococcus gallinarum",0,0,0,0
"Staphylococcus kloosii",0,0,0,0
"Ruminococcaceae bacterium D16",0,0,0,0
"Priestia megaterium",0,0,0,0
"Prauserella sp. Am3",0,0,0,0
"Bacillus stratosphericus",0,0,0,0
"Monoglobus pectinilyticus",0,0,0,0
"Bacillus altitudinis",0,0,0,0
"Pantoea agglomerans",0,0,0,0
"Blautia coccoides",0,0,0,0
"Staphylococcus capitis",0,0,0,0
"Aerococcus viridans",0,0,0,0
"Aerococcus urinaeequi",0,0,0,0
"Pseudoflavonifractor sp. An184",0.01128,0,0,0
"Lactiplantibacillus pentosus",0,0,0,0
"Christensenella hongkongensis",0,0,0,0
"Prevotella sp. CAG:1058",0,0,0,0
"Fructilactobacillus sanfranciscensis",0,0,0,0
"Porphyromonas endodontalis",0,0,0,0
"Alistipes timonensis",0,0,0,0
"Prevotella sp. CAG:1031",0,0,0,0
"Methanosphaera cuniculi",0,0,0,0
"Lachnoclostridium sp. An138",0,0,0,0
"Massilimicrobiota timonensis",0,0,0,0
"Erysipelothrix larvae",0,0,0,0
"Phocaeicola sartorii",0,0,0,0
"Harryflintia acetispora",0,0,0,0
"Megamonas rupellensis",0,0,0,0
"Lacrimispora saccharolytica",0,0,0,0
"Lactobacillus gasseri",0.00476,0,0,0
"Bacteroides fluxus",0,0,0,0
"Lactobacillus acidophilus",0,0,0,0
"Sellimonas intestinalis",0,0,0,0
"Aeromonas veronii",0,0,0,0
"Streptococcus sp. HPH0090",0,0,0,0
"Fusobacterium periodonticum",0,0,0,0
"Bacteroides heparinolyticus",0,0,0,0
"Selenomonas noxia",0,0,0,0
"Fusobacterium hwasookii",0,0,0,0
"Lachnoanaerobaculum saburreum",0,0,0,0
"Butyricicoccus pullicaecorum",0,0,0,0
"Prevotella denticola",0,0,0,0
"Selenomonas sputigena",0,0,0,0
"Bacteroides pyogenes",0,0,0,0
"Campylobacter showae",0,0,0,0
"Gemmiger sp. An194",0,0,0,0
"Leptotrichia wadei",0,0,0,0
"Anaeroglobus geminatus",0,0,0,0
"Selenomonas sp. FOBRC6",0,0,0,0
"Streptococcus sp. HMSC071D03",0,0,0,0
"Selenomonas flueggei",0,0,0,0
"Neisseria macacae",0,0,0,0
"Leptotrichia sp. oral taxon 847",0,0,0,0
"Eisenbergiella massiliensis",0,0,0,0
"Anaerostipes caccae",0,0,0,0
"Faecalitalea cylindroides",0,0,0,0
"Streptococcus sobrinus",0,0,0,0
"Limosilactobacillus vaginalis",0,0,0,0
"Dorea sp. CAG:317",0,0,0,0
"Peptoniphilus lacrimalis",0,0,0,0
"Faecalicatena orotica",0,0,0,0
"Anaerococcus vaginalis",0,0,0,0
"Ruminococcus sp. CAG:624",0,0,0,0
"Methanobrevibacter oralis",0,0,0,0
"Bacteroides sp. CAG:144",0,0,0,0
"Hafnia paralvei",0,0,0,0
"Raoultella planticola",0.14223,0,0,0
"[Clostridium] scindens",0,0,0,0
"Parabacteroides acidifaciens",0,0,0,0
