"","G69157","HV-1","LDK_9","A72_02_1FE"
"Enorma",0.00694,0,0,0
"Rothia",0,0,0,0
"Veillonella",0,0.03192,0.14005,0.05677
"Megasphaera",0,0,0,0
"Haemophilus",0.07654,0.18427,0.01967,0.03537
"Barnesiella",0.31036,0.00174,0,0
"Bilophila",0,0,0,0.03432
"Anaerotruncus",0,0,0,0.31997
"Gordonibacter",0.33111,0,0,0
"Ruthenibacterium",0.02079,0,0,0
"Parasutterella",0.11272,0,0.06094,0
"Lachnoclostridium",0,0,0,0
"Allisonella",0,0.00083,0,0
"Dialister",0.03963,0,0,0
"Akkermansia",0.24737,0,0,0
"Turicimonas",0.00081,0,0,0
"Adlercreutzia",0.01624,0,0,0
"Actinomyces",0.37322,0.01625,0,0
"Corynebacterium",0.00402,0,0,0
"Schaalia",0.03263,0,0,0.00357
"Weissella",0,0,0.00844,0
"Klebsiella",0,0,0,0.45091
"Plesiomonas",0,0,0,0
"Enterococcus",9.21869,0,0,0
"Lactococcus",0.72093,0,0,0
"Enterobacter",0,0,0,0
"Sarcina",0,0,0,0
"Eggerthella",2.13544,0,0,0
"Neisseria",0,0,0,0
"Citrobacter",0,0,0,0.0073
"Lautropia",0,0,0,0
"Erysipelatoclostridium",0.28762,0,0,0
"Pseudoflavonifractor",0.01128,0,0,0
"Enterocloster",0.00114,0,0,0
"Hungatella",0,0,0,0
"Dielma",0,0,0,0
"Comamonas",0,0,0,0
"Romboutsia",0.00509,0.00861,0,0
"Victivallis",0,0,0,0
"Aggregatibacter",0,0,0,0
"Lawsonibacter",0,0,0,0
"Cloacibacillus",0,0,0,0
"Fretibacterium",0,0,0,0
"Cutibacterium",0,0,0,0.00254
"Acidaminococcus",0,0,0,0
"Coprobacter",0,0,0,0
"Campylobacter",0,0,0,0
"Saccharomyces",0,0,0.05823,0
"Lactiplantibacillus",0.00138,0,0,0
"Levilactobacillus",0,0,0.00106,0
"Pediococcus",0,0,0,0
"Lentilactobacillus",8.60861,0,0,0
"Alloscardovia",0,0,0,0
"Leuconostoc",0,0,0.00206,0
"Candidatus Methanomethylophilus",0,0,0,0
"Mogibacterium",0.01158,0,0,0.07585
"Porphyromonas",0,0,0,0
"Propionibacterium",0,0,0,0
"Solobacterium",0,0,0,0.034
"Gemella",0,0,0,0.02203
"Atopobium",0,0,0,0
"Fusobacterium",0,0.15405,0,0
"Pseudomonas",0,0,0,0
"Ralstonia",0,0,0,0
"Rhodococcus",0,0,0,0
"Prescottella",0,0,0,0
"Intestinimonas",0.00021,0,0,0
"Actinobaculum",0,0,0,0
"Arachnia",0,0,0,0
"Oribacterium",0,0,0,0
"Pauljensenia",9e-04,0,0,0
"Scardovia",0,0,0,0
"Eikenella",0,0,0,0
"Denitrobacterium",0.00927,0,0,0
"Lancefieldella",0,0,0,0
"Olsenella",0,0,0,0
"Tropheryma",0,0,0,0
"Abiotrophia",0,0,0,0
"Granulicatella",0,0,0,0
"Parvimonas",0,0,0,0
"Peptostreptococcus",0,0,0,0
"Paeniclostridium",0,0,0,0
"Paraclostridium",0,0,0,0
"Pyramidobacter",0,0,0,0.00124
"Tyzzerella",0,0,0,0
"Kluyvera",0,0,0,0
"Leclercia",0,0,0,0
"Micrococcus",0,0,0,0
"Kytococcus",0,0,0,0
"Ezakiella",0,0,0,0
"Sneathia",0,0,0,0
"Mageeibacillus",0,0,0,0
"Lawsonia",0,0,0,0
"Synergistes",0,0,0,0
"Coprobacillus",0,0.00243,0,0
"Alcaligenes",0,0,0,0
"Brevibacterium",0,0,0,0
"Gordonia",0,0,0,0
"Cellulosimicrobium",0,0,0,0
"Stenotrophomonas",0,0,0,0
"Nocardiopsis",0,0,0,0
"Moraxella",0,0,0,0
"Enhydrobacter",0,0,0,0
"Pseudocitrobacter",0,0,0,0
"Peptoniphilus",0,0,0,0
"Helicobacter",0,0,0,0
"Morococcus",0,0,0,0
"Faecalicoccus",0,0,0,0
"Mycolicibacterium",0,0,0,0
"Methylobacterium",0,0,0,0
"Streptomyces",0,0,0,0
"Clostridioides",0,0,0,0
"Gardnerella",0,0,0,0
"Morganella",0,0,0,0
"Proteus",0,0,0,0
"Schleiferilactobacillus",0,0,0,0
"Liquorilactobacillus",0,0,0,0
"Desulfomicrobium",0,0,0,0
"Cardiobacterium",0,0,0,0
"Aeromonas",0,0,0,0
"Yokenella",0,0,0,0
"Raoultella",0.14223,0,0,0
"Pluralibacter",0,0,0,0
"Hafnia",0,0,0,0
"Cedecea",0,0,0,0
"Kosakonia",0,0,0,0
"Serratia",0,0,0,0
"Holdemania",0,0,0,0
"Candidatus Stoquefichus",0,0,0,0
"Amedibacillus",0,0,0,0
"Anaeromassilibacillus",0,0,0,0
"Atlantibacter",0,0,0,0
"Anaerotignum",0,0,0,0
"Oxalobacter",0,0,0,0
"Staphylococcus",0,0,0,0
"Mammaliicoccus",0,0,0,0
"Sanguibacteroides",0,0,0,0
"Eisenbergiella",0,0,0,0
"Christensenella",0,0,0,0
"Cetobacterium",0,0,0,0
"Alloprevotella",0,0,0,0
"Priestia",0,0,0,0
"Prauserella",0,0,0,0
"Bacillus",0,0,0,0
"Monoglobus",0,0,0,0
"Pantoea",0,0,0,0
"Aerococcus",0,0,0,0
"Fructilactobacillus",0,0,0,0
"Massilimicrobiota",0,0,0,0
"Erysipelothrix",0,0,0,0
"Harryflintia",0,0,0,0
"Lacrimispora",0,0,0,0
"Sellimonas",0,0,0,0
"Selenomonas",0,0,0,0
"Lachnoanaerobaculum",0,0,0,0
"Butyricicoccus",0,0,0,0
"Leptotrichia",0,0,0,0
"Anaeroglobus",0,0,0,0
"Faecalitalea",0,0,0,0
"Faecalicatena",0,0,0,0
"Anaerococcus",0,0,0,0
"Murimonas",0,0,0,0
"Melissococcus",0,0,0,0
"Anaerofustis",0,0,0,0
"Latilactobacillus",0,0,0,0
"Providencia",0,0,0,0
"Peptacetobacter",0,0,0,0
"Lactonifactor",0,0,0,0
"Stomatobaculum",0,0,0,0
"Shewanella",0,0,0,0
"Limnochorda",0,0,0,0
"Paludisphaera",0,0,0,0
"Succinatimonas",0,0,0,0
"Robinsoniella",0,0,0,0
"Centipeda",0,0,0,0
"Shuttleworthia",0,0,0,0
"Ottowia",0,0,0,0
"Agitococcus",0,0,0,0
"Franconibacter",0,0,0,0
"Acholeplasma",0,0,0,0
"Metamycoplasma",0,0,0,0
"Capnocytophaga",0,0,0,0
"Lacticaseibacillus",0.01483,0,0,0
"Parascardovia",0,0,0,0
"Kingella",0,0,0,0
"Eggerthia",0,0,0,0
"Lawsonella",0,0,0,0
"Cronobacter",0,0,0,0
"Oenococcus",0,0,0,0
"Tannerella",0,0,0,0
"Anaerocolumna",0,0,0,0
"Varibaculum",0,0,0,0
"Candida",0,0,0,0
"Finegoldia",0,0,0,0
"Dysgonomonas",0,0,0,0
"Peptococcus",0,0,0,0
"Gleimia",0,0,0,0
"Bordetella",0,0,0,0
"Dermabacter",0,0,0,0
"Propionimicrobium",0,0,0,0
"Bavariicoccus",0,0,0,0
"Paracoccus",0,0,0,0
"Yersinia",0,0,0,0
"Buttiauxella",0,0,0,0
"Salmonella",0,0,0,0
"Acinetobacter",0,0,0,0
"Negativicoccus",0,0,0,0
"Pseudoramibacter",0,0,0,0
"Companilactobacillus",0,0,0,0
"Actinotignum",0,0,0,0
"Metakosakonia",0,0,0,0
"Cryptosporidium",0,0,0,0
"Loigolactobacillus",0,0,0,0
"Macrococcus",0,0,0,0
"Superficieibacter",0,0,0,0
"Muribaculum",0,0,0,0
"Anaerosporobacter",0,0,0,0
"Sphingobium",0,0,0,0
"Brevundimonas",0,0,0,0
"Sphingobacterium",0,0,0,0
"Agrobacterium",0,0,0,0
"Phytobacter",0,0,0,0
"Terrisporobacter",0,0,0,0
"Carnobacterium",0,0,0,0
"Cellulosilyticum",0,0,0,0
"Paucilactobacillus",0,0,0,0
