"","de028ad4-7ae6-11e9-a106-68b59976a384","PNP_Main_283","PNP_Validation_55","G80275","PNP_Main_363","SAMEA7045572","SAMEA7045355","HD-13","EGAR00001420773_9002000001423910","SID5428-4","G88848","G88743","PNP_Main_161","SAMEA7045443","SAMEA7045434","PNP_Validation_96","G80532","EGAR00001420742_9002000001415730","SAMEA7045220","G88982","EGAR00001420843_9002000001441150","a48719f0-7ae6-11e9-a106-68b59976a384","EGAR00001420336_9002000001272430","SID103_4M","EGAR00001420568_9002000001370790","EGAR00001420295_9002000001258923","G88782","G80373","EGAR00001420244_9002000001236274","PNP_Main_398","ESS-0243","HSM5MD8H_P","EGAR00001420873_9002000001447911","G89260","SID39_12M","aaf6076a-7ae6-11e9-a106-68b59976a384","EGAR00001420459_9002000001336350","HD-30","SID570_4M","ESS-0208","G80371","dc239b54-7ae6-11e9-a106-68b59976a384","MH0456","DHAK_HN","EGAR00001420696_9002000001402983","Travel054","EGAR00001421017_9002000001486419","PNP_Main_508","DHAK_HB","MH0430","SAMEA7045516","G88997","G88966","SID5427-1","SAMEA7045144","SID8c0a6d5a-7ae6-11e9-a106-68b59976a384","EGAR00001420242_9002000001235670","G80616","PNP_Main_440","SID64cff2e6-7ae6-11e9-a106-68b59976a384","SAMEA7045776","DHAK_HDA","SAMEA7045686","EGAR00001420221_9002000001228512","SAMEA104142088","SID504_12M","SAMEA7045298","YEZ_N-23","EGAR00001420666_9002000001395260","G80565","G88929","SID6eb0cd1c-7ae6-11e9-a106-68b59976a384","SID9a17daae-7ae6-11e9-a106-68b59976a384","cd74a670-7ae6-11e9-a106-68b59976a384","ac725ce2-7ae6-11e9-a106-68b59976a384","d7fa5842-7ae6-11e9-a106-68b59976a384","MH0458","EGAR00001420766_9002000001422322","EGAR00001420538_9002000001360382LL","Travel115","MSM79H81","MH0139","SID8bc1311c-7ae6-11e9-a106-68b59976a384","SAMEA7045662","PNP_Main_65","EGAR00001421055_9002000001503823","MH0164","SAMEA7041184","G80265","G88988","SAMEA7045071","SAMEA7045948","MSM9VZFR","EGAR00001420999_9002000001480470","G89017","SID7197b6ee-7ae6-11e9-a106-68b59976a384","PNP_Main_358","G78895","a4b551a8-7ae6-11e9-a106-68b59976a384","Travel023","V31_01_2FE","A85_01_1FE","A27_02_1FE","JAS_1","A59_01_1FE","A19_01_1FE","A04_01_1FE","A75_02_1FE","TZ_29321","A28_02_1FE","LDK_5","A11_01_1FE","A07_01_1FE","A81_03_1FE","JAS_5","TZ_91827","LDK_9","A72_02_1FE","A91_02_1FE","A70_03_1FE","TZ_60579","A36_01_1FE","TZ_37609","A20_01_1FE","A01_02_1FE","TZ_65642","TZ_83627","KHG_4","A46_01_1FE","TZ_10742","LDK_1-2","V50_01_1FE","A79_02_1FE","TZ_47979","V53_02_1FE","A47_01_1FE","A43_02_1FE","JAS_8","V06_02_1FE","JAS_4","LDK_8","A54_02_1FE","A82_02_1FE","TZ_83788","A25_01_1FE","A09_02_1FE","LDK_2","V36_02_2FE","LDK_3","A06_01_1FE","TZ_93321","TZ_73414","A39_04_1FE","KHG_11","V07_02_2FE","KHG_6","A62_01_1FE","TZ_41014","V48_03_2FE","A73_02_1FE","A73_01_1FE","JAS_7","A68_01_1FE","TZ_24827","A92_01_1FE","A15_02_1FE","JAS_2","A55_01_1FE","V54_01_1FE","A23_01_1FE","A44_01_1FE","A03_01_1FE","V19_01_2FE","TZ_61717","A88_02_1FE","A47_02_1FE","TZ_21618","A90_04_1FE","TZ_67706","A58_03_1FE","TZ_83985","A08_01_1FE","A53_01_1FE","TZ_42041","A94_02_1FE","A04_04_1FE","TZ_38244","A41_01_1FE","A10_01_1FE","A89_02_1FE","A46_02_1FE","TZ_87532","A94_01_1FE","KHG_7","LDK_4","KHG_9","A48_01_1FE","KHG_1","TZ_81781","A09_01_1FE"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_299",0,0,0,0,0,0.00658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01235,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129,0,0,0,0,0,0,0,0,0.02477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_pittmaniae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08463,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_infantium",0,0,0,0,0,0,0.00157,0,0.00082,0,0,0,0,0,0,0,0.02148,0,0,0,0,0,0,0.00481,0,0,0,0.03279,0,0,0,0,0,0,0.01029,0.26393,0,0,0,0.01142,0,0.103,0.00217,0,0,0,0,0,0,0,0.00294,0,0,0,0,0.00341,0,0,0,0.316,0,0,0,0,0.00358,0.46675,0.00813,0,0,0,0,0,0,0.01343,0,0,0,0,0,0,0.13434,0,0,0.00349,0,0,0,0,0,0,0,0,0,0.00588,0,0,0,0,0,0,0.06036,0.00788,0.00184,0,0.03548,0.04043,0.00475,0,0,0.03033,0,0.01112,0,0,0,0,0,0,0.01433,0,0,0.00438,0,0,0,0,0,0,0.29388,0,0,0,0.01264,0,0.01766,0,0,0,0,0,0,0.02122,0,0,0.01334,0,0,0.05629,0,0,0,0,0.02532,0,0,0.00115,0,0,0,0.00133,0,0,0,0,0,0,0,0.00446,0.00412,0,0,0,0.01341,0,0,0,0,0.01167,0,0,0,0,0.04323,0,0,0.00798,0,0,0.12969,0,0,0,0,0,0.03069,0,0,0.0122,0,0.08901
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gordonii",0,0,0,0,0.00293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02843,0,0,0.01725,0,0.00704,0,0,0,0,0,0,0,0,0.01582,0,0,0,0,0,0,0,0,0,0,0.00168,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00483,0,0,0,0,0.00928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00316,0.00673,0.20559,0,0.01312,0,0,0,0,0.01225,0,3.85868,0,0,0,0,0,0.04193,0,0,0,0,0,0,0,0.38581,0,0,0,0,0,0,0,0,0.01328,0,0,0,0,0,0,0,0,0,0,0.00326,0,0,0,0,0,0,0,0,0,0,0.00673,0,0,0.02414,0,0,0,0,0.06726,0,0,9e-04,0.03305,0,0.28355,0,0,0,0,0,0,0,0,0.07799,0,0,0.00187,0,0,0.07709,0,0,0,0,0,0,0,0,0.0056,0,0.03233,0,0,0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35584,0,0.08295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01732,0,0.41785,0.26374,0,1.08186,1.0725,0,0,0.19208,0.00905,0,3.51681,0,0,0,0.08232,2.97718,0.02046,1.99975,0,0,0,1.95643,0,0.12991,0,0,0,2.06196,0,0.00162,0,0,0,0,0,0,0.01439,0.11737,0,0,0.30972,0,0.03645,0,0,0,0,0.03404,0,0,0,0,0,0,0,0,0,0.12844,0.02971,0,0,0.06383,0,0,1.71261,0,0,0,0,0,0.16579,0,0,0,0,0.28013,0,0,0,0,0,0,0,0,0,0,0,0,0.14772,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_OM08_24",0,0.01751,0,0,0,0,0,0,0,0.02052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10432,0,0,0,0,0,0,0,0.14816,0.01041,0,0,0.02044,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01087,0,0,0,0,0,0.00237,0,0,0,2.006,5.53964,0.58196,0,0,0,0,0,0.14541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456,0,0.00413,0,0,0,0,0,0,3.30074,0,0,0,0,0.00407,0,0,0,0.00586,0,0,0,0,0,0,0.02984,0,0,0,0,0,0.18627,0.06712,0,0,0,0,0,0,0,0,0.30175,0,0,0.00886,0,0,0,0.13285,0.01961,0,0.01795,0.05731,0,0.11544,0,0.02626,0.02087,0,0,0,0,0,0.0683,0,0,0.0835
"k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified|f__Eukaryota_unclassified|g__Blastocystis|s__Blastocystis_sp_subtype_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02122,0,0,0,0.2356,0,0,0,0,0,0,0.0176,0,0,0,0.01159,0,0,0,0,0,0,0,0,0,0.00971,0.00272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02526,0.18423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16392,0,0,0,0,0.00489,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas_funiformis_CAG_377",0,0,0,0,0,0,0,0,0,0,0,0.01908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537,0,0
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_sp_CAG_439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__Christensenella|s__Christensenella_minuta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01929,0,0,0,0,0,0,0.47999,0,0,0,0.05215,0,0,0,0,0,0,0,0,0,0.8247,0,0,0,0,0,0.80015,4.676,0,0,0,0,0,0,0,0,0,0,0,0,0.57222,0,0,0,0.36523,0,0,0.00882,0.01106,0,0,0,0,0,0,0,0.11719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0779,0,0,0,0,0,0,0,0,0,0,0,0.21298,0,0,0,0.05428,2.32169,0.03666,0.00321,0,0.38323,0,0,0,0.04011,0,0,0,0.22678,0,0,0,0,0,0,0.00837,0,0,0,0.26202,0,0,0,0,0,0.02304,0.06226,0,0,0,0,0,0,0,0,0,0,0,0.11274,0,0,0,0,0,0,0,0,0,0,0.8682,59.098,0,0,0,0,0,0,0,0,0,0,0,0,0.71299,0,0.61045,0,0,0.307,0,0,0,0,0,0,0,0.49816,0,0.11454,0,0,0.07082,0,0,0.14441,0,0,0,0.3936,0,0.23719
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02597,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_quasipneumoniae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06814,0,0,0,0,0,0.03273,0.41404,0,0,0,0,0,0,0,0,0,0,0.00392,0,0.17474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12393,0,0,0,0.00841,0.61182,0.02634,0,0,0.02445,0.00761,0,0,0.0475,0,0,0,0.01543,0,0,0,0,0,0,0,0,0,0,0.00851,0,0,0,0,0,0.02634,0,0,0,0,0,0,0,0,0,0,0,0,0.03567,0,0,0,0,0,0,0,0,0,0,0.12318,6.51389,0,0,0,0,0,0,0,0,0,0,0,0,0.38897,0,0.12273,0,0,0.27148,0,0,0,0,0,0,0,0.01345,0,0.06969,0,0,0,0,0,0.18674,0,0,0,0.1112,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_timonensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00199,0,0,0,1.65511,0,0,0.21399,0.09631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_amnii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_vaginae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04788,0,0,0.00168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Hungateiclostridiaceae|g__Mageeibacillus|s__Mageeibacillus_indolicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonellaceae_unclassified|s__Veillonellaceae_bacterium_DNF00626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_anginosus_group",0,0,0,0,0,0,0,0,0,0,0,0,0.01154,0,0,0,0,0,0,0,0,0,0,0,0,0.05537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07608,0,0,0,0,0,0,0,0,0,0,0.04525,0,0,0,0,0,0.03179,0,0,0.01354,0,0,0,0,0.01287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04805,0.17886,0,0,0,0,0,0,0,0,0,0,0,0.05881,0,0.00429,0,0,0,0.10739,0,0,0.00933,0,0.76542,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06534,0,0,0.23771,0,0,0,0.01132,0,0.02677,0,0,0,0,0,0,0,0,0,0,0.34307,0,0,0,0,0,0.01718,0,0,0,0,0,0,0,0.00099,0,0,0.00115,0,0.12782,0,0,0,0.02503,0,0.48277,0,0,0,0.00065,0,0,0.02156,0,0.12195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08568,0,0,0,0,0
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Sneathia|s__Sneathia_amnii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
